target_gene,source_target_gene,dataset_id,dataset_context_id,canonical_context_id,study_id,perturbation_modality,crispri,n_cells,n_cells_status,n_cells_source,n_cells_scope,n_guides,n_control_cells,guide_level_metadata_available,raw_counts_available,knockdown_efficiency_available,knockdown_efficiency,source_variant_id,source_url,target_list_source,confidence,present_in_vcc2026_panel,assay_family,notes
ACAT2,ACAT2,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1765,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
ILKAP,ILKAP,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,236,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
ILRUN,ILRUN,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,161,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
ILVBL,ILVBL,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,211,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
IMMP1L,IMMP1L,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,44,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
IMMP2L,IMMP2L,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,175,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
IMMT,IMMT,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,72,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
IMP3,IMP3,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,27,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,10691,True,True,False,,replogle_k562_essential_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: essential.
IMP4,IMP4,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,164,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,10691,True,True,False,,replogle_k562_essential_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: essential.
IMPA1,IMPA1,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,200,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
IMPA2,IMPA2,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,103,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
IMPACT,IMPACT,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,283,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
IMPAD1,IMPAD1,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,90,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
IMPDH1,IMPDH1,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,348,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
IMPDH2,IMPDH2,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,142,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INCENP,INCENP,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,59,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,10691,True,True,False,,replogle_k562_essential_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: essential.
INF2,INF2,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,137,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
ING1,ING1,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,381,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
ING2,ING2,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,130,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
ING3,ING3,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,169,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
ING4,ING4,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,155,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
ING5,ING5,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,215,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INHBE,INHBE,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,122,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INIP,INIP,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,123,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INKA2,INKA2,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,215,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INO80,INO80,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,286,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INO80B,INO80B,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,194,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INO80C,INO80C,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,167,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INO80D,INO80D,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,255,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INO80E,INO80E,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,23,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INPP1,INPP1,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,250,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INPP4A,INPP4A,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,161,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INPP5A,INPP5A,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,240,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INPP5B,INPP5B,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,276,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INPP5E,INPP5E,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,127,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INPP5F,INPP5F,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,303,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INPP5K,INPP5K,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,238,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INPPL1,INPPL1,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,173,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INSIG1,INSIG1,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,121,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INSIG2,INSIG2,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,317,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INSM1,INSM1,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,196,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INSM2,INSM2,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,229,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INTS1,INTS1,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,440,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INTS10,INTS10,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,148,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INTS11,INTS11,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,71,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INTS12,INTS12,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,89,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INTS13,INTS13,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,117,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INTS14,INTS14,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,183,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INTS2,INTS2,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,354,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,10691,True,True,False,,replogle_k562_essential_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: essential.
INTS3,INTS3,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,135,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,75328,True,True,False,,replogle_k562_gwps_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: genome-wide.
INTS4,INTS4,replogle2022,replogle2022::K562,K562,replogle2022,CRISPRi,True,48,exact,source_targets/replogle_k562_gwps_counts.csv;source_targets/replogle_k562_essential_counts.csv,All cells in the selected scPerturb panel assigned to the perturbation label; duplicate genes retain the panel with the larger count and are not summed.,,10691,True,True,False,,replogle_k562_essential_scperturb,https://zenodo.org/records/13350497,remote scPerturb H5AD obs/perturbation categorical metadata,high,False,10x_Perturb-seq,Union of K562 panels; for duplicate genes the source panel with more cells is retained rather than double-counting. Selected panel: essential.
