source_dataset_context,target_dataset_context,source_canonical_context,target_canonical_context,same_canonical_context,same_study,n_shared_perturbations,shared_fraction_source,shared_fraction_target,same_modality,same_or_similar_assay,source_dataset,target_dataset,source_assay_family,target_assay_family,notes
jiang2025::BxPC3,nourreddine2024::KOLF2.1J,BxPC3,KOLF2.1J,False,False,200,0.9174311926605505,0.017113031573543252,True,False,jiang2025,nourreddine2024,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::BxPC3,zhu2026::CD4T,BxPC3,CD4T,False,False,213,0.9770642201834863,0.01673212882953653,True,False,jiang2025,zhu2026,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::K562,mcfaline2024::A172,K562,A172,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::K562,mcfaline2024::T98G,K562,T98G,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::K562,mcfaline2024::U87MG,K562,U87MG,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::K562,xatlas_orion::HCT116,K562,HCT116,False,False,215,0.9862385321100917,0.011753129612420051,True,False,jiang2025,xatlas_orion,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::K562,xatlas_orion::HEK293T,K562,HEK293T,False,False,215,0.9862385321100917,0.011741576101796734,True,False,jiang2025,xatlas_orion,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::K562,nourreddine2024::KOLF2.1J,K562,KOLF2.1J,False,False,200,0.9174311926605505,0.017113031573543252,True,False,jiang2025,nourreddine2024,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::K562,zhu2026::CD4T,K562,CD4T,False,False,213,0.9770642201834863,0.01673212882953653,True,False,jiang2025,zhu2026,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
mcfaline2024::A172,mcfaline2024::T98G,A172,T98G,False,True,522,1.0,1.0,True,True,mcfaline2024,mcfaline2024,sci-Plex-GxE,sci-Plex-GxE,Within-study biological-context bridge.
mcfaline2024::A172,mcfaline2024::U87MG,A172,U87MG,False,True,522,1.0,1.0,True,True,mcfaline2024,mcfaline2024,sci-Plex-GxE,sci-Plex-GxE,Within-study biological-context bridge.
mcfaline2024::A172,xatlas_orion::HCT116,A172,HCT116,False,False,506,0.9693486590038314,0.027660853878532773,True,False,mcfaline2024,xatlas_orion,sci-Plex-GxE,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
mcfaline2024::A172,xatlas_orion::HEK293T,A172,HEK293T,False,False,505,0.9674329501915708,0.02757905084375512,True,False,mcfaline2024,xatlas_orion,sci-Plex-GxE,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
mcfaline2024::A172,nourreddine2024::KOLF2.1J,A172,KOLF2.1J,False,False,337,0.6455938697318008,0.02883545820142038,True,False,mcfaline2024,nourreddine2024,sci-Plex-GxE,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
mcfaline2024::A172,zhu2026::CD4T,A172,CD4T,False,False,392,0.7509578544061303,0.030793401413982718,True,False,mcfaline2024,zhu2026,sci-Plex-GxE,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
mcfaline2024::T98G,mcfaline2024::U87MG,T98G,U87MG,False,True,522,1.0,1.0,True,True,mcfaline2024,mcfaline2024,sci-Plex-GxE,sci-Plex-GxE,Within-study biological-context bridge.
mcfaline2024::T98G,xatlas_orion::HCT116,T98G,HCT116,False,False,506,0.9693486590038314,0.027660853878532773,True,False,mcfaline2024,xatlas_orion,sci-Plex-GxE,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
mcfaline2024::T98G,xatlas_orion::HEK293T,T98G,HEK293T,False,False,505,0.9674329501915708,0.02757905084375512,True,False,mcfaline2024,xatlas_orion,sci-Plex-GxE,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
mcfaline2024::T98G,nourreddine2024::KOLF2.1J,T98G,KOLF2.1J,False,False,337,0.6455938697318008,0.02883545820142038,True,False,mcfaline2024,nourreddine2024,sci-Plex-GxE,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
mcfaline2024::T98G,zhu2026::CD4T,T98G,CD4T,False,False,392,0.7509578544061303,0.030793401413982718,True,False,mcfaline2024,zhu2026,sci-Plex-GxE,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
mcfaline2024::U87MG,xatlas_orion::HCT116,U87MG,HCT116,False,False,506,0.9693486590038314,0.027660853878532773,True,False,mcfaline2024,xatlas_orion,sci-Plex-GxE,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
mcfaline2024::U87MG,xatlas_orion::HEK293T,U87MG,HEK293T,False,False,505,0.9674329501915708,0.02757905084375512,True,False,mcfaline2024,xatlas_orion,sci-Plex-GxE,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
mcfaline2024::U87MG,nourreddine2024::KOLF2.1J,U87MG,KOLF2.1J,False,False,337,0.6455938697318008,0.02883545820142038,True,False,mcfaline2024,nourreddine2024,sci-Plex-GxE,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
mcfaline2024::U87MG,zhu2026::CD4T,U87MG,CD4T,False,False,392,0.7509578544061303,0.030793401413982718,True,False,mcfaline2024,zhu2026,sci-Plex-GxE,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
xatlas_orion::HCT116,xatlas_orion::HEK293T,HCT116,HEK293T,False,True,18285,0.9995626742469798,0.9985800884714107,True,True,xatlas_orion,xatlas_orion,10x_Perturb-seq,10x_Perturb-seq,Within-study biological-context bridge.
xatlas_orion::HCT116,nourreddine2024::KOLF2.1J,HCT116,KOLF2.1J,False,False,11348,0.6203465806592686,0.9709934114828442,True,True,xatlas_orion,nourreddine2024,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
xatlas_orion::HCT116,zhu2026::CD4T,HCT116,CD4T,False,False,12448,0.6804788716995572,0.977847604084839,True,True,xatlas_orion,zhu2026,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
xatlas_orion::HEK293T,nourreddine2024::KOLF2.1J,HEK293T,KOLF2.1J,False,False,11361,0.6204467260116869,0.9721057585351245,True,True,xatlas_orion,nourreddine2024,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
xatlas_orion::HEK293T,zhu2026::CD4T,HEK293T,CD4T,False,False,12460,0.6804652940855224,0.9787902592301649,True,True,xatlas_orion,zhu2026,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
nourreddine2024::KOLF2.1J,zhu2026::CD4T,KOLF2.1J,CD4T,False,False,10055,0.8603576623598871,0.7898664571877455,True,True,nourreddine2024,zhu2026,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
